#group,false,false,true,true,false,true,true,true,false,false,false
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,double,double,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_measurement,exchange,symbol,price,quantity,side
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.671Z,trades,BybitFutures,BTCUSDT,64985.3,0.008,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.731Z,trades,BybitFutures,BTCUSDT,64986.7,0.003,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:38.755Z,trades,BybitFutures,BTCUSDT,64988.6,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:39.816Z,trades,BybitFutures,BTCUSDT,64982.2,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:40.015Z,trades,BybitFutures,BTCUSDT,64982.2,0.001,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:40.074Z,trades,BybitFutures,BTCUSDT,64982.1,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:40.332Z,trades,BybitFutures,BTCUSDT,64987,0.008,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:40.688Z,trades,BybitFutures,BTCUSDT,64988.6,0.004,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:40.943Z,trades,BybitFutures,BTCUSDT,64988.6,0.005,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:40.985Z,trades,BybitFutures,BTCUSDT,64988.7,0.004,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:41.042Z,trades,BybitFutures,BTCUSDT,64988.7,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:41.587Z,trades,BybitFutures,BTCUSDT,64987.5,0.009,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:41.614Z,trades,BybitFutures,BTCUSDT,64982.1,0.002,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:42.458Z,trades,BybitFutures,BTCUSDT,64982.1,0.015,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:42.567Z,trades,BybitFutures,BTCUSDT,64982.1,0.016,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:42.587Z,trades,BybitFutures,BTCUSDT,64982.1,0.006,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:42.639Z,trades,BybitFutures,BTCUSDT,64982.1,0.23,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:43.363Z,trades,BybitFutures,BTCUSDT,64982.1,0.231,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:43.961Z,trades,BybitFutures,BTCUSDT,64982.2,0.083,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:44.803Z,trades,BybitFutures,BTCUSDT,64982.1,0.01,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:44.811Z,trades,BybitFutures,BTCUSDT,64980,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.021Z,trades,BybitFutures,BTCUSDT,64980.1,0.006,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.22Z,trades,BybitFutures,BTCUSDT,64978.1,0.023,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.351Z,trades,BybitFutures,BTCUSDT,64977.8,0.001,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.372Z,trades,BybitFutures,BTCUSDT,64977.7,0.023,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.393Z,trades,BybitFutures,BTCUSDT,64977.7,0.009,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.765Z,trades,BybitFutures,BTCUSDT,64977.5,0.045,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.766Z,trades,BybitFutures,BTCUSDT,64977.5,0.016,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.769Z,trades,BybitFutures,BTCUSDT,64975.2,0.008,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.799Z,trades,BybitFutures,BTCUSDT,64974.2,0.065,buy
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.804Z,trades,BybitFutures,BTCUSDT,64974.1,0.057,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.813Z,trades,BybitFutures,BTCUSDT,64974.1,0.114,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.816Z,trades,BybitFutures,BTCUSDT,64974.1,0.151,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.817Z,trades,BybitFutures,BTCUSDT,64974.1,0.043,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.83Z,trades,BybitFutures,BTCUSDT,64973,0.003,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.952Z,trades,BybitFutures,BTCUSDT,64972,0.022,sell
,,0,2024-04-21T15:24:57.660755549Z,2024-04-21T16:24:57.660755549Z,2024-04-21T15:25:45.972Z,trades,BybitFutures,BTCUSDT,64970.9,0.001,sell
